Rxn	Rxn name	Gene Protein Reaction Rule	EC Number	TN(s-1)	Substrate	Organism	Commentary	Reference
ALAALAtex	D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ALAGLUE	L-alanyl-gamma-glutamate epimerase	b1325						
ALAR	alanine racemase	(b1190 or b4053)	5.1.1.1	7504	L-Ala	Procambarus clarkii	"30°C, pH 8.5"	"Purification and properties of alanine racemase from crayfish Procambarus clarkii, Shibata, K.; Shirasuna, K.; Motegi, K.; Kera,... <Preview truncated at 128 characters>"
ALATA_D2	D-alanine transaminase	(b2551 or b0870)						
ALATA_L	L-alanine transaminase	(b2290 or b2379)	2.6.1.2	17.1	L-alanine	Rattus norvegicus	"200 mM L alanine and 2 mM 2 oxoglutarate in 0.1 M phosphate buffer, pH 7.4, at 37°C"	"A novel low molecular weight alanine aminotransferase from fasted rat liver, Vedavathi, M.; Girish, K.S.; Kumar, M.K.; Biochemis... <Preview truncated at 128 characters>"
ALATA_L2	alanine transaminase	(b0870 or b2551)						
ALATRS	Alanyl-tRNA synthetase	b2697	6.1.1.7	120	ATP	Escherichia coli	Cys76Ser mutant	"A cysteine in the C terminal region of alanyl tRNA synthetase is important for aminoacylation activity, Wu, M.X.; Filley, S.J.; ... <Preview truncated at 128 characters>"
ALAabcpp	L-alanine transport via ABC system (periplasm)	(b3454 and b3455 and b3457 and b3460 and b3456)						
ALAt2pp	L-alanine transport in via proton symport (periplasm)	b4208						
ALAt2rpp	L-alanine reversible transport via proton symport (periplasm)							
ALAt4pp	L-alanine transport in via sodium symport (periplasm)	b0007						
ALAtex	L-alanine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ALCD19	alcohol dehydrogenase (glycerol)	b0356	1.1.1.1	4808	NADPH	Geobacillus thermodenitrificans	"cosubstrate octanal, pH 8.0, 60°C"	"Two novel metal independent long chain alkyl alcohol dehydrogenases from Geobacillus thermodenitrificans NG80 2, Liu, X.; Dong, ... <Preview truncated at 128 characters>"
ALCD2x	alcohol dehydrogenase (ethanol)	(b1478 or b1241 or b0356)	1.1.1.1	4808	NADPH	Geobacillus thermodenitrificans	"cosubstrate octanal, pH 8.0, 60°C"	"Two novel metal independent long chain alkyl alcohol dehydrogenases from Geobacillus thermodenitrificans NG80 2, Liu, X.; Dong, ... <Preview truncated at 128 characters>"
ALDD19xr	"aldehyde dehydrogenase (phenylacetaldehyde, NAD)"	b1385	1.2.1.39					
ALDD2x	"aldehyde dehydrogenase (acetaldehyde, NAD)"	b1300	1.2.1.3					
ALDD2y	"aldehyde dehydrogenase (acetaldehyde, NADP)"	b3588	1.2.1.4	20000	NA	NA	NA	NA
ALDD3y	"aldehyde dehydrogenase (propanal, NADP)"	b3588						
ALDD4	"aldehyde dehydrogenase (butanal, NAD)"							
ALLK	Allose kinase	b4084						
ALLPI	Allose 6-phosphate isomerase	b4090						
ALLTAMH	allantoate amidohydrolase	b0516	3.5.3.9	20000	NA	NA	NA	NA
ALLTN	allantoinase	b0512	3.5.2.5					
ALLTNt2rpp	allantoin transport in via proton symport (periplasm)	b0511						
ALLTNtex	allantoin transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ALLULPE	Allulose 6-phosphate epimerase	b4085						
ALLabcpp	D-allose transport via ABC system (periplasm)	(b4087 and b4088 and b4086)						
ALLtex	Allose transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ALPATE160pp	"apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)"	(b0657 and b1677)						
ALPATG160pp	"apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)"	(b0657 and b1677)						
ALR2	aldose reductase (methylglyoxal)	(b3012 or b0207 or b1781 or b3001)						
ALTRH	altronate hydrolase	b3091	4.2.1.7	20000	NA	NA	NA	NA
AM3PA	anhydrous-N-Acetylmuramyl-tripeptide amidase	b0110						
AM4PA	anhydrous-N-Acetylmuramyl-tetrapeptide amidase	b0110						
AM4PCP	"anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase"	b1192						
AMALT1	Amylomaltase (maltotriose)	b3416	2.4.1.25	425	maltotetraose	Thermus thermophilus	"pH 5.5, 70°C, wild type enzyme"	"Identification of acceptor substrate binding subsites +2 and +3 in the amylomaltase from Thermus thermophilus HB8, Kaper, T.; Le... <Preview truncated at 128 characters>"
AMALT2	Amylomaltase (maltotetraose)	b3416	2.4.1.25	425	maltotetraose	Thermus thermophilus	"pH 5.5, 70°C, wild type enzyme"	"Identification of acceptor substrate binding subsites +2 and +3 in the amylomaltase from Thermus thermophilus HB8, Kaper, T.; Le... <Preview truncated at 128 characters>"
AMALT3	Amylomaltase (maltopentaose)	b3416	2.4.1.25	425	maltotetraose	Thermus thermophilus	"pH 5.5, 70°C, wild type enzyme"	"Identification of acceptor substrate binding subsites +2 and +3 in the amylomaltase from Thermus thermophilus HB8, Kaper, T.; Le... <Preview truncated at 128 characters>"
AMALT4	Amylomaltase (maltohexaose)	b3416	2.4.1.25	425	maltotetraose	Thermus thermophilus	"pH 5.5, 70°C, wild type enzyme"	"Identification of acceptor substrate binding subsites +2 and +3 in the amylomaltase from Thermus thermophilus HB8, Kaper, T.; Le... <Preview truncated at 128 characters>"
AMANAPEr	N-acetylmannosamine 6-phosphate epimerase	b3223						
AMANK	N-acetyl-D-mannosamine kinase	b3222	2.7.1.60					
AMAOTr	adenosylmethionine-8-amino-7-oxononanoate transaminase	b0774	2.6.1.62					
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	b3833						
AMPMS2	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	b3994						
AMPN	AMP nucleosidase	b1982	3.2.2.4					
AMPTASECG	alanyl aminopeptidase (cys-gly)	(b0237 or b0932 or b4260 or b2523)	3.4.11.2	7600	L-Ala-4-nitroanilide	Novosphingobium capsulatum	"pH 7.5, 43°C"	"Aminopeptidase from Sphingomonas capsulata, Byun, T; Tang, M.; Sloma, A.; Brown, K.M.; Marumoto, C.; Fujii, M.; Blinkovsky, A.M.... <Preview truncated at 128 characters>"
AMPTASEPG	aminopeptidase (pro-gly)	(b4260 or b0237 or b2523 or b0932)	3.4.11.2	7600	L-Ala-4-nitroanilide	Novosphingobium capsulatum	"pH 7.5, 43°C"	"Aminopeptidase from Sphingomonas capsulata, Byun, T; Tang, M.; Sloma, A.; Brown, K.M.; Marumoto, C.; Fujii, M.; Blinkovsky, A.M.... <Preview truncated at 128 characters>"
AMPtex	AMP transport via diffusion (extracellular to periplasm)	(b2215 or b0929 or b1377 or b0241)						
ANHGMtex	GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ANHMK	"1,6-anhydrous-N-Acetylmuramate kinase"	b1640						
ANPRT	anthranilate phosphoribosyltransferase	b1263	2.4.2.18					
ANS	anthranilate synthase	(b1263 and b1264)	4.1.3.27					
AOBUTDs	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	s0001						
AOXSr2	8-amino-7-oxononanoate synthase	b0776	2.3.1.47					
AP4AH	Ap4A hydrolase	b0049	3.6.1.41					
AP4AS	Ap4A synthetase	b4129						
AP5AH	Ap5A hydrolase	b0049						
APCS	aminopropylcadaverine synthase	b0121	2.5.1.16					
APG3PAT120	acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0)	b3059						
APG3PAT140	acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0)	b3059						
APG3PAT141	acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)	b3059						
APG3PAT160	acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)	b3059						
APG3PAT161	acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)	b3059						
APG3PAT180	acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)	b3059						
APG3PAT181	acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1)	b3059						
APH120	acylphosphatase (C12:0)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH140	acylphosphatase (C14:0)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH141	acylphosphatase (C14:1)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH160	acylphosphatase (C16:0)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH161	acylphosphatase (C16:1)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH180	acylphosphatase (C18:0)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APH181	acylphosphatase (C18:1)	b0968	3.6.1.7	10000	benzoyl-phosphate	Pyrococcus horikoshii	"at 98°C and pH 5.3, estimation by linear extrapolation"	Crystal structure of a hyperthermophilic archaeal acylphosphatase from Pyrococcus horikoshii   structural insights into enzymati... <Preview truncated at 128 characters>
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	b0414	1.1.1.193					
ARAI	L-arabinose isomerase	b0062	5.3.1.4					
ARBTNR1	aerobactin reductase							
ARBTNR2	aerobactin reductase							
ARBTNR3	aerobactin reductase							
ARBTNabcpp	aerobactin transport via ABC system (periplasm)	(b0153 and b0151 and b0152)						
ARBTNexs	aerobactin Fe-loading reaction (spontaneous)	s0001						
ARBTNtex	aerobactin secretion (to extracellular)							
ARBTNtonex	aerobactin transport via ton system (extracellular)							
ARBTNtpp	aerobactin secretion (to periplasm)							
ARBTptspp	arbutin transport via PEP:Pyr PTS (periplasm)	((b3722 and b2415 and b2416) or (b2715 and b2415 and b2416))						
ARBTtex	arbutin transport via diffusion (extracellular to periplasm)	(b2215 or b1377 or b0241 or b0929)						
ARBabcpp	L-arabinose transport via ABC system (periplasm)	(b1901 and b1900 and b4460)						
ARBt2rpp	L-arabinose transport via proton symport (periplasm)	b2841						
ARBt3ipp	L-arabinose transport via proton antiport (periplasm)	b1528						
ARBtex	L-arabinose transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ARGDC	arginine decarboxylase	b4117	4.1.1.19	9.9	L-arginine	Avena sativa	His tagged ADC	"Post translational processing, metabolic stability and catalytic efficiency of oat arginine decarboxylase expressed in Trypanoso... <Preview truncated at 128 characters>"
ARGDCpp	arginine decarboxylase	b2938	4.1.1.19	9.9	L-arginine	Avena sativa	His tagged ADC	"Post translational processing, metabolic stability and catalytic efficiency of oat arginine decarboxylase expressed in Trypanoso... <Preview truncated at 128 characters>"
ARGORNt7pp	arginine/ornithine antiporter (periplasm)	b1605						
ARGSL	argininosuccinate lyase	b3960	4.3.2.1					
ARGSS	argininosuccinate synthase	b3172	6.3.4.5	20000	NA	NA	NA	NA
ARGTRS	Arginyl-tRNA synthetase	b1876	6.1.1.19					
ARGabcpp	L-arginine transport via ABC system (periplasm)	((b2310 and b2307 and b2306 and b2308) or (b0863 and b0860 and b0861 and b0864 and b0862))						
ARGt3pp	L-arginine transport out via proton antiport (cytoplasm to periplasm)	b2923						
ARGtex	L-arginine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ASAD	aspartate-semialdehyde dehydrogenase	b3433	1.2.1.11					
ASCBPL	L-ascorbate 6-phosphate lactonase	b4192						
ASCBptspp	L-ascorbate transport via PEP:Pyr PTS (periplasm)	(b2415 and b2416 and b4195 and b4194 and b4193)						
ASCBtex	L-ascorbate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ASNN	L-asparaginase	(b1767 or b0828)	3.5.1.1	1600	L-Asn	Pectobacterium carotovorum	37°C	"One step purification and kinetic properties of the recombinant L asparaginase from Erwinia carotovora, Krasotkina, J.; Borisova... <Preview truncated at 128 characters>"
ASNS1	asparagine synthase (glutamine-hydrolysing)	b0674	6.3.5.4					
ASNS2	asparagine synthetase	b3744	6.3.1.1					
ASNTRS	Asparaginyl-tRNA synthetase	b0930	6.1.1.22					
ASNabcpp	L-asparagine transport via ABC system (periplasm)							
ASNt2rpp	L-asparagine reversible transport via proton symport (periplasm)	b1453						
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ASO3t8pp	arsenite efflux via ATP hydrolysis (periplasm)	b3502						
ASO3tex	arsenite transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ASP1DC	aspartate 1-decarboxylase	b0131	4.1.1.11					
ASPCT	aspartate carbamoyltransferase	((b4244 and b4245) or b4245)	2.1.3.2					
ASPK	aspartate kinase	(b0002 or b3940 or b4024)	2.7.2.4	245	L-aspartate	Methanocaldococcus jannaschii	at 70°C	"The initial step in the archaeal aspartate biosynthetic pathway catalyzed by a monofunctional aspartokinase, Faehnle, C.R.; Liu,... <Preview truncated at 128 characters>"
ASPO3	L-aspartate oxidase	b2574						
ASPO4	L-aspartate oxidase	b2574						
ASPO5	L-aspartate oxidase	b2574						
ASPO6	L-aspartate oxidase	b2574						
ASPT	L-aspartase	b4139	4.3.1.1	190	L-aspartate	Bacillus sp. YM55 1 	"above 0.016 1/sec, N326Q mutant protein; above 0.027 1/sec, T141K mutant protein; above 0.12 1/sec, N326A mutant protein; above ... <Preview truncated at 128 characters>"	"Site directed mutagenesis, kinetic and inhibition studies of aspartate ammonia lyase from Bacillus sp. YM55 1, Puthan Veetil, V.... <Preview truncated at 128 characters>"
ASPTA	aspartate transaminase	b0928	2.6.1.1	574	oxaloacetate	Arabidopsis thaliana	"isozyme AAT2, pH 8.0, 25°C"	"Recombinant expression, purification, and characterization of three isoenzymes of aspartate aminotransferase from Arabidopsis th... <Preview truncated at 128 characters>"
ASPTRS	Aspartyl-tRNA synthetase	b1866	6.1.1.12	79	tRNAAsp	Escherichia coli	"pH 7.5, 37°C, aminoacylation of tRNAAsp(QUC), mutant enzyme E118K"	"Single amino acid changes in AspRS reveal alternative routes for expanding its tRNA repertoire in vivo, Martin, F.; Barends, S.;... <Preview truncated at 128 characters>"
ASPabcpp	L-aspartate transport via ABC system (periplasm)	(b0655 and b0654 and b0653 and b0652)						
ASPt2_2pp	Aspartate transport via proton symport (2 H) (periplasm)	b3528						
ASPt2_3pp	L-asparate transport via proton symport (3 H) (periplasm)	(b4138 or b4123)						
ASPt2pp	L-aspartate transport in via proton symport (periplasm)	b4077						
ASPt2rpp	L-aspartate transport in via proton symport (periplasm) reversible							
ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
ASR	arsenate reductase	(b3503 and b1064)						
AST	Arginine succinyltransferase	b1747	2.3.1.109					
ATHRDHr	L-allo-threonine dehydrogenase	b1539						
ATPHs	ATP amine hydrolysis (spontaneous)	s0001						
ATPM	ATP maintenance requirement							
ATPPRT	ATP phosphoribosyltransferase	b2019	2.4.2.17					
ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	(((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735) and b3739) or ((b3736 and b3737 and b3738) and (b3731 and b3732 and b3733 and b3734 and b3735)))	3.6.3.14	539	ATP	Escherichia coli	"recombinant subunit epsilon mutant EF1Fo, pH 7.5 8.8, temperature not specified in the publication"	"Mechanism of inhibition by C terminal alpha helices of the epsilon subunit of Escherichia coli FoF1 ATP synthase, Iino, R.; Hase... <Preview truncated at 128 characters>"
BALAt2pp	beta-alanine transport in via proton symport (periplasm)	b4208						
BALAtex	beta-alanine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
BETALDHx	betaine-aldehyde dehydrogenase	b0312	1.2.1.8					
BETALDHy	betaine-aldehyde dehydrogenase	b0312	1.2.1.8					
BMOCOS	bis-molybdenum cofactor synthase	b0827						
BMOGDS1	bis-molybdopterin guanine dinucleotide synthase (single GDP)	(b3857 or (b3857 and b3856))						
BMOGDS2	bis-molybdopterin guanine dinucleotide synthase	(b3857 or (b3857 and b3856))						
BPNT	"3,5-bisphosphate nucleotidase"	b4214	3.1.3.7					
BSORx	Biotin sulfoxide reductase	b3551						
BSORy	Biotin sulfoxide reductase	b3551						
BTNt2ipp	Biotin transport via proton symport (periplasm)							
BTNtex	Biotin transport via diffusion (extracellular to periplasm)	(b2215 or b1377 or b0241 or b0929)						
BTS5	Biotin synthase	b0775	2.8.1.6					
BUTCT	Acetyl-CoA:butyrate-CoA transferase	(b2221 and b2222)	2.8.3.8					
BUTSO3abcpp	butanesulfonate transport via ABC system (periplasm)	((b0936 and b0933 and b0934) or (b0365 and b0366 and b0367))						
BUTSO3tex	butanesulfonate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
BUTt2rpp	"Butyrate transport via proton symport, reversible (periplasm)"	b2223						
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
BWCOGDS1	tungsten bispterin guanine dinucleotide synthase (single GDP)	(b3857 or (b3857 and b3856))						
BWCOGDS2	tungsten bispterin guanine dinucleotide synthase	(b3857 or (b3857 and b3856))						
BWCOS	tungsten bispterin cofactor synthase	b0827						
CA2t3pp	calcium (Ca+2) transport out via proton antiport (periplasm)	b1216						
CA2tex	calcium (Ca+2) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CADVtpp	Lysine/Cadaverine antiporter (periplasm)	b4132						
CAT	catalase	(b1732 or b3942)	1.11.1.6	2830000	H2O2	Penicillium piceum	catalase from Penicillium piceum strain F 648 at the minimum degree of association (0.3 nM)	Use of cadmium hydroxide gel for isolation of extracellular catalases from Penicillium piceum and characterization of purified e... <Preview truncated at 128 characters>
CAt6pp	calcium / sodium antiporter (1:1)	b3196						
CBIAT	Cobinamide adenyltransferase	b1270	2.5.1.17					
CBItonex	Cobinamide transport via ton system (extermal)	(b3966 and (b1252 and b3005 and b3006))						
CBIuabcpp	"Cobinamide transport via ABC system (uptake, periplasm)"	(b1711 and b1709 and b0158)						
CBL1abcpp	Cob(1)alamin transport via ABC system (periplasm)	(b1711 and b1709 and b0158)						
CBL1tonex	Cob(1)alamin transport via ton system (extermal)	(b3966 and (b1252 and b3005 and b3006))						
CBLAT	cob(I)alamin adenosyltransferase	b1270	2.5.1.17					
CBMD	carbamate deaminase	s0001						
CBMKr	Carbamate kinase	(b0521 or b0323 or b2874)	2.7.2.2	20000	NA	NA	NA	NA
CBPS	carbamoyl-phosphate synthase (glutamine-hydrolysing)	(b0032 and b0033)	6.3.5.5	2660	L-glutamine	Mammalia	"pH 7.4, 37°C, wild type hybrid enzyme"	Functional linkage between the glutaminase and synthetase domains of carbamoyl phosphate synthetase. Role of serine 44 in carbam... <Preview truncated at 128 characters>
CCGS	7-cyano-7-carbaguanine synthase	b0444						
CD2abcpp	Cadmium (Cd+2) ABC transporter (periplasm)	b3469						
CD2t3pp	cadmium (Cd+2) transport out via proton antiport (periplasm)	(b3915 or b0752)						
CD2tex	cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CD2tpp	cadmium (+2) transport in via permease (no H+)	b3040						
CDAPPA120	CDP-Diacylglycerol pyrophostatase (n-C12:0)	b3918	3.6.1.26					
CDAPPA140	CDP-Diacylglycerol pyrophostatase (n-C14:0)	b3918	3.6.1.26					
CDAPPA141	CDP-Diacylglycerol pyrophostatase (n-C14:1)	b3918	3.6.1.26					
CDAPPA160	CDP-Diacylglycerol pyrophostatase (n-C16:0)	b3918	3.6.1.26					
CDAPPA161	CDP-Diacylglycerol pyrophostatase (n-C16:1)	b3918	3.6.1.26					
CDAPPA180	CDP-Diacylglycerol pyrophostatase (n-C18:0)	b3918	3.6.1.26					
CDAPPA181	CDP-Diacylglycerol pyrophostatase (n-C18:1)	b3918	3.6.1.26					
CDGR	7-cyano-7-deazaguanine reductase	b2794						
CDGS	7-deaza-7-carboxyguanine synthase							
CDPMEK	4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol kinase	b1208						
CFAS160E	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)"	b1661	2.1.1.79					
CFAS160G	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)"	b1661	2.1.1.79					
CFAS180E	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)"	b1661	2.1.1.79					
CFAS180G	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)"	b1661	2.1.1.79					
CGLYabcpp	L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm)	(b3544 and b3543 and b3542 and b3541 and b3540)						
CGLYtex	L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CHLabcpp	choline transport via ABC system (periplasm)	(b2128 and b2129 and b2130 and b2131)						
CHLt2pp	choline transport via proton symport (periplasm)	(b0314 or b1801)						
CHLtex	choline transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CHOLD	choline dehydrogenase	b0311	1.1.99.1					
CHORM	chorismate mutase	(b2599 or b2600)	5.4.99.5	366000	chorismate	Escherichia coli	"37°C, pH 7.8, DELTA102 285"	"An engineered chorismate mutase with allosteric regulation, Zhang, S.; Wilson, D.B.; Ganem, B.; Bioorg. Med. Chem. 11, 3109 3114... <Preview truncated at 128 characters>"
CHORS	chorismate synthase	b2329	4.2.3.5					
CHRPL	Chorismate pyruvate lyase	b4039						
CHTBSptspp	chitobiose transport via PEP:Pyr PTS (periplasm)	b2416						
CHTBStex	chitobiose transport via diffusion (extracellular to periplasm)	(b2215 or b0929 or b1377 or b0241)						
CINNDO	Cinnamate dioxygenase	(b2538 and b2539 and b2540 and b2542)						
CITL	Citrate lyase	((b0615 and b0616 and b0617) and b0614)	4.1.3.6					
CITt3pp	citrate transport out via proton antiport (periplasm)							
CITt7pp	Citrate transport via succinate antiport (periplasm)	b0612						
CITtex	citrate transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CLIPAabctex	cold lipid A transport via ABC system (periplasm to extracellular)	(b3200 and b3201 and b3199 and b4261 and b4262)						
CLPNH120pp	"cardiolipin hydrolase (periplasm, n-C12:0)"							
CLPNH140pp	"cardiolipin hydrolase (periplasm, n-C14:0)"							
CLPNH141pp	"cardiolipin hydrolase (periplasm, n-C14:1)"							
CLPNH160pp	"cardiolipin hydrolase (periplasm, n-C16:0)"							
CLPNH161pp	"cardiolipin hydrolase (periplasm, n-C16:1)"							
CLPNH180pp	"cardiolipin hydrolase (periplasm, n-C18:0)"							
CLPNH181pp	"cardiolipin hydrolase (periplasm, n-C18:1)"							
CLPNS120pp	"cardiolipin synthase (periplasmic, n-C12:0)"	(b0789 or b1249)						
CLPNS140pp	"cardiolipin synthase (periplasmic, n-C14:0)"	(b1249 or b0789)						
CLPNS141pp	"cardiolipin synthase (periplasmic, n-C14:1)"	(b0789 or b1249)						
CLPNS160pp	"cardiolipin synthase (periplasmic, n-C16:0)"	(b0789 or b1249)						
CLPNS161pp	"cardiolipin synthase (periplasmic, n-C16:1)"	(b1249 or b0789)						
CLPNS180pp	"cardiolipin synthase (periplasmic, n-C18:0)"	(b0789 or b1249)						
CLPNS181pp	"cardiolipin synthase (periplasmic, n-C18:1)"	(b0789 or b1249)						
CLt3_2pp	chloride transport out via proton antiport (2:1) (periplasm)	(b0155 or b1592)						
CLtex	chloride (Cl-1) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CMPN	CMP nucleosidase		3.2.2.10					
CMPtex	CMP transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CMtex	Chloramphenicol transport via diffusion (extracellular to periplasm)	(b1377 or b2215 or b0929 or b0241)						
CMtpp	Chloramphenicol transport via TolC system	((b0463 and b0462 and b3035) or (b0463 and b2470 and b3035))						
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
CO2tpp	CO2 transporter via diffusion (periplasm)	s0001						
COBALT2abcpp	Cobalt (Co+2) ABC transporter (periplasm)	b3469						
COBALT2t3pp	cobalt (Co+2) transport out via proton antiport (periplasm)	(b0752 or b3915)						
COBALT2tex	cobalt (Co+2) transport via diffusion (extracellular to periplasm)	(b0241 or b0929 or b1377 or b2215)						
COBALT2tpp	cobalt transport in via permease (no H+)	(b3040 or b3816)						
COLIPAKpp	Lipid A core kinase (periplasm)	b2174						
COLIPAPabctex	core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)	(b3200 and b3201 and b3199 and b4261 and b4262)						
COLIPAabcpp	core oligosaccharide lipid A transport via ABC system (periplasm)	b0914						
COLIPAabctex	core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	(b3200 and b3201 and b3199 and b4261 and b4262)						
CPGNR1	coprogen(Fe(III)) reductase							
CPGNR2	coprogen(Fe(III)) reductase							
CPGNR3	coprogen(Fe(III)) reductase							
CPGNUtex	coprogen unloaded secretion (extracellular)							
CPGNUtpp	coprogen unloaded secretion							
CPGNabcpp	coprogen transport via ABC system (periplasm)	(b0153 and b0151 and b0152)						
CPGNexs	coprogen Fe-loading reaction (spontaneaous)	s0001						
CPGNtonex	Coprogen transport via ton system (extracellular)	(b1102 and (b1252 and b3005 and b3006))						
CPH4S	"6-carboxy-5,6,7,8-tetrahydropterin synthase"	b2765						
CPMPS	cyclic pyranopterin monophosphate synthase	(b0781 and b0783)						
CPPPGO	coproporphyrinogen oxidase (O2 required)	b2436	1.3.3.3	16	Coproporphyrinogen-III	Homo sapiens	-	"Human coproporphyrinogen oxidase is not a metalloprotein, Medlock, A.E.; Dailey, H.A.; J. Biol. Chem. 271, 32507 32510 (1996)"
CPPPGO2	Oxygen Independent coproporphyrinogen-III oxidase	b3867						
CRNBTCT	gamma-butyrobetainyl-CoA: carnitine CoA transferase	b0038						
CRNCAL2	Carnitine-CoA Ligase	b0037						
CRNCAR	carnitine-CoA racemase	b0036						
CRNCBCT	crotonobetainyl-CoA: carnitine CoA transferase	b0038						
CRNCDH	Carnityl-CoA dehydratse	b0036						
CRNDCAL2	D-Carnitine-CoA Ligase	b0037						
CRNDabcpp	D-carnitine transport via ABC system (periplasm)	(b2677 and b2678 and b2679)						
CRNDt2rpp	D-carnitine outward transport (H+ antiport)	b4111						
CRNDtex	D-carnitine transport via diffusion (extracellular to periplasm)	(b1377 or b2215 or b0929 or b0241)						
CRNabcpp	L-carnitine transport via ABC system (periplasm)	(b2677 and b2678 and b2679)						
CRNt2rpp	L-carnitine outward transport (H+ antiport)	b4111						
